id,name,price,category,subcategory,description
1,Margherita Pizza,27,Main,Pizza,"classic italian pizza with cheese, mildly salty savory flavor, baked dish"
2,Pepperoni Pizza,29,Main,Pizza,"pepperoni pizza with cheese, savory and slightly spicy flavor, baked"
3,Hawaiian Pizza,28.5,Main,Pizza,"hawaiian pizza with cheese and pineapple, sweet savory flavor, baked dish"
4,Four Cheese Pizza,30,Main,Pizza,"four cheese pizza with rich melted cheese, creamy savory flavor, baked dish"
5,BBQ Chicken Pizza,31,Main,Pizza,"bbq chicken pizza with cheese and smoky sauce, savory slightly sweet flavor, baked dish"
,,,,,
6,Spaghetti Carbonara,19,Main,Pasta,"creamy rich pasta with savory sauce, not spicy, soft texture"
7,Seafood Aglio Olio,21.5,Main,Pasta,"seafood pasta with garlic and olive oil, light spicy flavor, aromatic and savory"
8,Spaghetti Bolognese,20,Main,Pasta,"classic beef bolognese pasta with tomato sauce, savory rich flavor, not spicy"
9,Creamy Chicken Alfredo,22,Main,Pasta,"creamy chicken pasta with rich white sauce, smooth texture, not spicy"
10,Pesto Shrimp Pasta,23.5,Main,Pasta,"shrimp pasta with basil pesto sauce, aromatic savory flavor, slightly oily"
,,,,,
11,Sirloin Steak,35,Main,Steak,"grilled beef steak, savory rich flavor, slightly salty, not spicy"
12,Grilled Ribeye Steak,41,Main,Steak,"grilled ribeye steak with smoky savory taste, juicy and flavorful"
13,Black Pepper Steak,38,Main,Steak,"grilled beef steak with black pepper sauce, savory slightly spicy flavor"
14,Garlic Butter Steak,39.5,Main,Steak,"grilled beef steak with garlic butter, rich savory flavor, not spicy"
15,Grilled Tenderloin Steak,45,Main,Steak,"grilled tenderloin steak, juicy tender texture, savory rich flavor"
,,,,,
16,Classic Beef Burger,21.9,Main,Burger,"juicy savory beef burger with rich toppings, slightly salty flavor"
17,Crispy Chicken Burger,20.5,Main,Burger,"crispy fried chicken burger, savory crunchy texture, mildly spicy"
18,Double Cheese Burger,24.5,Main,Burger,"beef burger with double cheese, juicy savory flavor, mildly salty"
19,BBQ Bacon Burger,26,Main,Burger,"beef burger with bacon and bbq sauce, smoky savory flavor, slightly sweet"
20,Mushroom Swiss Burger,25.5,Main,Burger,"beef burger with mushroom and swiss cheese, creamy savory flavor"
,,,,,
21,Crispy Fried Chicken,16,Main,Fried Chicken,"crispy fried chicken, savory bold flavor, slightly spicy, crunchy texture"
